date_maj,activite_finess_pmej,activite_finess_ege,activite_nature,activite_code,activite_statut,activite_capacite_autorisee,activite_capacite_installee
2026-04-01,010000297,010780724,ASDR,ASDR_170_03_990,3,0,0
2026-04-01,010000305,010780732,ASDR,ASDR_170_03_990,2,0,0
2026-04-01,010000305,010780732,ASDR,ASDR_824_09_990,2,0,0
2026-04-01,010000321,010780815,ASDR,ASDR_824_09_990,2,0,0
2026-04-01,010000321,010780815,ASDR,ASDR_230_03_990,2,0,0
2026-04-01,010000339,010780906,ASMR,ASMR,2,0,14
2026-04-01,010000339,010780906,ASMR,ASMR,2,0,70
2026-04-01,010000339,010780906,ASDR,ASDR_094_09_990,3,0,0
2026-04-01,010000339,010780906,ASDR,ASDR_824_09_990,2,0,0
2026-04-01,010000339,010006401,AMM,AMM_QA001_MO000_ME000_PTS00_DE015,2,0,0
2026-04-01,010000339,010006401,AppAMM,AppAMM_231_09_13,2,0,0
2026-04-01,010000339,010006401,AppAMM,AppAMM_232_09_6,2,0,0
2026-04-01,010000339,010006401,AppAMM,AppAMM_233_09_5,2,0,0
2026-04-01,010000339,010006401,AppAMM,AppAMM_230_09_10,2,0,0
2026-04-01,010000339,010006401,AppAMM,AppAMM_231_08_10,2,0,0
2026-04-01,010000339,010006401,AppAMM,AppAMM_232_08_2,2,0,0
2026-04-01,010000339,010006401,AppAMM,AppAMM_233_08_3,2,0,0
2026-04-01,010000339,010006401,AppAMM,AppAMM_230_08_8,2,0,0
2026-04-01,010000339,010006401,ASMR,ASMR,2,0,39
2026-04-01,010000339,010006401,ASMR,ASMR,2,0,3
2026-04-01,010000347,010780914,ASMR,ASMR,2,0,95
2026-04-01,010000354,010780922,ASMR,ASMR,2,0,0
2026-04-01,010000354,010780922,ASMR,ASMR,2,0,9
2026-04-01,010000354,010780922,ASMR,ASMR,2,0,44
2026-04-01,010000362,010780930,ASMR,ASMR,2,0,131
2026-04-01,010000362,010784528,ASMR,ASMR,3,0,41
2026-04-01,010000388,010780955,ASMR,ASMR,2,0,80
2026-04-01,010000388,010780955,ASMR,ASMR,2,0,1
2026-04-01,010000396,010780963,ASMR,ASMR,3,0,1
2026-04-01,010000396,010780963,ASMR,ASMR,2,0,81
2026-04-01,010000396,010780963,ASMR,ASMR,2,0,12
2026-04-01,010000396,010780963,ASMR,ASMR,3,0,0
2026-04-01,010000396,010780963,ASMR,ASMR,3,0,0
2026-04-01,010000396,010780963,ASMR,ASMR,2,0,0
2026-04-01,010000404,010780971,ASMR,ASMR,3,0,0
2026-04-01,010000404,010780971,ASMR,ASMR,3,0,0
2026-04-01,010000404,010780971,ASMR,ASMR,2,0,108
2026-04-01,010000404,010780971,ASMR,ASMR,2,0,0
2026-04-01,010000404,010780971,ASMR,ASMR,3,0,9
2026-04-01,010000446,010781011,ASMR,ASMR,2,0,20
2026-04-01,010000446,010781011,ASMR,ASMR,2,0,65
2026-04-01,010000446,010781011,ASMR,ASMR,3,0,2
2026-04-01,010000446,010781011,ASMR,ASMR,2,0,1
2026-04-01,010000453,010781029,ASMR,ASMR,3,0,15
2026-04-01,010000453,010781029,ASMR,ASMR,2,0,53
2026-04-01,010000453,010781029,ASMR,ASMR,2,0,12
2026-04-01,010000487,010781078,ASMR,ASMR,2,0,66
2026-04-01,010000487,010781078,ASMR,ASMR,2,0,14
2026-04-01,010000511,010784080,ASMR,ASMR,2,0,40
2026-04-01,010000537,010784122,ASOCR,ASOCR_916_11_899,3,0,42
2026-04-01,010000537,010784122,ASOCR,ASOCR_443_16_899,3,0,20
2026-04-01,010000545,010784239,ASMR,ASMR,2,0,105
2026-04-01,010000545,010789402,ASMR,ASMR,2,0,14
2026-04-01,010000545,010789402,ASMR,ASMR,2,0,0
2026-04-01,010000545,010789402,ASMR,ASMR,2,0,173
2026-04-01,010000552,010784452,ASDR,ASDR_084_26_990,3,0,0
2026-04-01,010000552,010006252,AER,AER_414_34_990,3,0,25
2026-04-01,010000552,010006252,AER,AER_419_34_990,3,0,20
2026-04-01,010000552,010784460,AER,AER_414_34_990,3,0,20
2026-04-01,010000578,010784619,ASMR,ASMR,2,0,17
2026-04-01,010000578,010784619,ASMR,ASMR,2,0,4
2026-04-01,010000578,010784619,ASMR,ASMR,2,0,1
2026-04-01,010000594,010009108,AER,AER_419_34_990,2,0,15
2026-04-01,010000594,010784668,ASMR,ASMR,2,0,0
2026-04-01,010000594,010784668,ASMR,ASMR,2,0,0
2026-04-01,010000594,010784668,ASMR,ASMR,3,0,0
2026-04-01,010000594,010784668,ASMR,ASMR,3,0,0
2026-04-01,010000602,010784692,ASMR,ASMR,3,0,40
2026-04-01,010000602,010784692,ASMR,ASMR,2,0,95
2026-04-01,010000602,010785681,ASMR,ASMR,2,0,59
2026-04-01,010000602,010789816,ASMR,ASMR,2,0,35
2026-04-01,010000602,010784593,ASMR,ASMR,2,0,102
2026-04-01,010000628,010784817,ASMR,ASMR,2,0,20
2026-04-01,010000628,010784817,ASMR,ASMR,2,0,11
2026-04-01,010000628,010784817,ASMR,ASMR,2,0,118
2026-04-01,010000636,010785087,ASOCR,ASOCR_911_97_808,3,0,0
2026-04-01,010000644,010785152,ASOCR,ASOCR_911_97_808,3,0,0
2026-04-01,010000644,010790228,ASOCR,ASOCR_910_13_808,3,0,24
2026-04-01,010000651,010785178,ASOCR,ASOCR_911_97_808,3,0,20
2026-04-01,010000685,010785301,ASOCR,ASOCR_934_11_010,3,0,155
2026-04-01,010000693,010785319,ASOCR,ASOCR_934_11_010,3,0,160
2026-04-01,010000701,010785327,ASOCR,ASOCR_934_11_010,3,0,48
2026-04-01,010000719,010785343,ASOCR,ASOCR_934_11_010,3,0,60
2026-04-01,010000727,010785350,ASOCR,ASOCR_934_11_010,3,0,107
2026-04-01,010000735,010785483,ASMR,ASMR,3,0,0
2026-04-01,010000735,010785483,ASMR,ASMR,2,0,0
2026-04-01,010000735,010785483,ASMR,ASMR,2,0,0
2026-04-01,010000735,010785483,ASMR,ASMR,3,0,0
2026-04-01,010000735,010011252,ASMR,ASMR,2,0,0
2026-04-01,010000735,010011252,ASMR,ASMR,2,0,0
2026-04-01,010000735,010002269,ASMR,ASMR,2,0,60
2026-04-01,010000743,010785590,ASOCR,ASOCR_911_97_808,3,0,0
2026-04-01,010000792,010785756,ASOCR,ASOCR_911_97_808,3,0,5
2026-04-01,010000792,010785756,ASOCR,ASOCR_915_13_808,3,0,8
2026-04-01,010000792,010785756,ASOCR,ASOCR_915_13_809,3,0,20
2026-04-01,010000826,010785855,ASOCR,ASOCR_934_11_010,3,0,40
2026-04-01,010000834,010785996,ASMR,ASMR,2,0,25
2026-04-01,010000859,010786226,ASOCR,ASOCR_910_13_808,3,0,0
2026-04-01,010000875,010786242,ASOCR,ASOCR_907_14_819,2,0,0
2026-04-01,010000875,010786242,ASMR,ASMR,3,0,0
2026-04-01,010000875,010786242,ASMR,ASMR,2,0,0
2026-04-01,010000883,010787133,ASOCR,ASOCR_910_13_808,3,0,25
2026-04-01,010000883,010787133,ASOCR,ASOCR_911_21_808,3,0,15
2026-04-01,010000891,010787166,ASMR,ASMR,2,0,44
2026-04-01,010000909,010787562,ASOCR,ASOCR_911_97_808,3,0,0
2026-04-01,010000925,010787992,ASOCR,ASOCR_521_50_860,2,0,30
2026-04-01,010000925,010787992,ASOCR,ASOCR_520_50_860,2,0,1870
2026-04-01,010000941,010788057,ASOCR,ASOCR_911_97_808,2,0,0
2026-04-01,010000966,010788206,AER,AER_419_34_990,3,0,20
2026-04-01,010000966,010788206,AER,AER_414_34_990,3,0,44
2026-04-01,010000974,010788230,ASMR,ASMR,2,0,70
2026-04-01,010000974,010788230,ASMR,ASMR,3,0,30
2026-04-01,010001014,010788404,ASMR,ASMR,2,0,80
2026-04-01,010001022,010788438,ASMR,ASMR,2,0,66
2026-04-01,010001022,010788438,ASMR,ASMR,2,0,0
2026-04-01,010001030,010788487,ASOCR,ASOCR_911_97_808,2,0,0
2026-04-01,010001048,010788529,ASOCR,ASOCR_911_97_808,3,0,0
2026-04-01,010001055,010788537,ASOCR,ASOCR_911_97_808,3,0,7
2026-04-01,010001055,010788537,ASOCR,ASOCR_910_13_808,3,0,10
2026-04-01,010001055,010788537,ASOCR,ASOCR_915_13_808,3,0,3
2026-04-01,010001063,010788669,ASMR,ASMR,3,0,1
2026-04-01,010001063,010788669,ASMR,ASMR,2,0,52
2026-04-01,010001063,010788669,ASMR,ASMR,2,0,1
2026-04-01,010001063,010006559,ASMR,ASMR,3,0,0
2026-04-01,010001063,010006559,ASMR,ASMR,2,0,16
2026-04-01,010001063,010006559,ASMR,ASMR,3,0,0
2026-04-01,010001063,010006559,ASMR,ASMR,3,0,0
2026-04-01,010001063,010006559,ASMR,ASMR,3,0,0
2026-04-01,010001063,010006559,ASMR,ASMR,2,0,2
2026-04-01,010001063,010006559,ASMR,ASMR,2,0,2
2026-04-01,010001063,010006559,ASMR,ASMR,3,0,0
2026-04-01,010001063,010006559,ASMR,ASMR,3,0,0
2026-04-01,010001113,010788784,ASMR,ASMR,2,0,0
2026-04-01,010001113,010788784,ASMR,ASMR,3,0,0
2026-04-01,010001147,010789196,ASOCR,ASOCR_911_97_808,2,0,0
2026-04-01,010001154,010789220,ASMR,ASMR,2,0,80
2026-04-01,010001162,010789329,ASOCR,ASOCR_250_14_808,3,0,0
2026-04-01,010001188,010789352,ASOCR,ASOCR_911_97_808,3,0,0
2026-04-01,010001196,010789378,ASMR,ASMR,2,0,34
2026-04-01,010001204,010789469,ASMR,ASMR,2,0,7
2026-04-01,010001212,010789659,ASOCR,ASOCR_911_97_808,3,0,0
2026-04-01,010001220,010789386,ASMR,ASMR,2,0,36
