date_maj,activite_finess_pmej,activite_finess_ege,activite_nature,activite_code,activite_statut,activite_capacite_autorisee,activite_capacite_installee
2026-04-01,010000156,010780195,ASDR,ASDR_105_03_990,3,0,0
2026-04-01,010000156,010780195,AMF,AMF_18_69_15,2,0,0
2026-04-01,010000156,010780195,ASDR,ASDR_181_03_990,3,0,0
2026-04-01,010000156,010780195,AMF,AMF_18_90_00,2,0,0
2026-04-01,010000156,010780195,AMF,AMF_18_92_00,2,0,0
2026-04-01,010000156,010780195,AMF,AMF_18_67_15,2,0,0
2026-04-01,010000156,010780195,ASR,ASR_R4_N2_01,2,0,4
2026-04-01,010000156,010780195,ASDR,ASDR_302_19_990,3,0,3
2026-04-01,010000156,010780195,AMF,AMF_18_94_00,2,0,0
2026-04-01,010000156,010780195,ASDR,ASDR_824_09_990,2,0,0
2026-04-01,010000156,010780195,AMF,AMF_11_83_00,2,0,0
2026-04-01,010000156,010780195,ASR,ASR_R5_N6_01,2,0,6
2026-04-01,010000156,010780195,AASA,AASA_A0_00_15,2,0,0
2026-04-01,010000156,010780195,AMF,AMF_01_00_01,2,0,0
2026-04-01,010000156,010780195,AMF,AMF_18_95_00,2,0,0
2026-04-01,010000156,010780195,AASA,AASA_A0_00_15,2,0,0
2026-04-01,010000156,010780195,ASR,ASR_R7_N7_01,2,0,5
2026-04-01,010000156,010780195,ASDR,ASDR_471_03_990,3,0,0
2026-04-01,010000156,010780195,AMF,AMF_18_91_00,2,0,0
2026-04-01,010000156,010780195,ASDR,ASDR_181_23_990,3,0,0
2026-04-01,010000172,010780211,ASDR,ASDR_824_09_990,2,0,0
2026-04-01,010000172,010780211,ASDR,ASDR_165_03_990,2,0,0
2026-04-01,010000172,010780211,ASDR,ASDR_309_04_990,3,0,0
2026-04-01,010000206,010002699,ASDR,ASDR_824_09_990,3,0,0
2026-04-01,010000206,010002749,ASDR,ASDR_723_19_990,3,0,8
2026-04-01,160018883,010780328,ASDR,ASDR_824_09_990,3,0,0
2026-04-01,160018883,010780328,ASDR,ASDR_219_03_990,3,0,0
2026-04-01,160018883,010780310,ASDR,ASDR_219_03_990,3,0,0
2026-04-01,160018883,010780310,ASDR,ASDR_824_09_990,2,0,0
2026-04-01,010000248,010780427,ASDR,ASDR_824_09_990,3,0,0
2026-04-01,010000248,010780427,ASDR,ASDR_737_03_990,3,0,0
2026-04-01,010000255,010008183,ASMR,ASMR,2,0,50
2026-04-01,010000255,010008183,ASMR,ASMR,2,0,10
2026-04-01,010000255,010790061,ASMR,ASMR,2,0,6
2026-04-01,010000255,010780575,ASMR,ASMR,2,0,55
2026-04-01,010000255,010780575,ASMR,ASMR,2,0,25
2026-04-01,010000255,010013472,ASMR,ASMR,2,0,0
2026-04-01,010000255,010011914,ASMR,ASMR,2,0,12
2026-04-01,010000297,010780724,ASDR,ASDR_824_09_990,3,0,0
